leave_type,leave_start_date,leave_end_date,leave_start_period,leave_end_period,leave_days,applicant_name,reporting_person,applicant_department,applicant_subdepartment
paternity_leave,07-03-2024,15-03-2024,first_half,first_half,9,Paula Campbell,Robin Francis,Business,Business Development Executive
academic_leave,27-01-2024,03-02-2024,second_half,full_day,8,Janice Montes,Justin Hardin,Business,Business Development Executive
medical_leave,09-11-2024,09-11-2024,full_day,first_half,0.5,Jeffery Lee,John Hernandez,Office Admin,Office Admin
academic_leave,14-11-2023,20-11-2023,full_day,full_day,7,Kevin Kirby,Rachel Ferguson,Technical,NodeJS
paternity_leave,09-09-2024,10-09-2024,full_day,first_half,2,Bailey Gross,Megan Brooks,Business,Business Development Executive
casual_leave,27-07-2023,02-08-2023,second_half,first_half,7,Kenneth Deleon,Kathleen Baker,Office Admin,Office Admin
paternity_leave,14-02-2025,22-02-2025,first_half,first_half,9,Alexandra Powell,Lori Hughes,Technical,iOS
marriage_leave,21-07-2023,27-07-2023,full_day,first_half,7,Andrew Norris,Valerie Palmer,Technical,NodeJS
marriage_leave,02-04-2024,11-04-2024,first_half,full_day,10,Diana Blake,Michael Lewis,Business,Business Development Executive
medical_leave,30-12-2023,31-12-2023,first_half,full_day,2,Elizabeth Spears,Brenda Greene,Technical,PHP
academic_leave,07-04-2025,11-04-2025,full_day,full_day,5,Dustin Fields,Linda Holder,Business,Business Development Executive
medical_leave,21-11-2023,24-11-2023,first_half,full_day,4,Patrick Martinez,Thomas Jones,HR,HR
medical_leave,29-04-2024,08-05-2024,first_half,first_half,10,Steven Golden,Mariah Robinson,Technical,ReactJS
casual_leave,11-04-2025,14-04-2025,first_half,first_half,4,Brandy Torres,Kimberly Smith,Technical,iOS
marriage_leave,25-12-2023,03-01-2024,second_half,full_day,10,Michelle Burns,Vincent Mckay,HR,Project coordinator
casual_leave,06-03-2024,10-03-2024,second_half,full_day,5,Tanya Petty,Veronica Sanders,Technical,ReactJS
marriage_leave,21-09-2024,27-09-2024,second_half,first_half,7,Charles Franklin,Joshua Pierce,Technical,NodeJS
maternity_leave,28-07-2023,30-07-2023,second_half,first_half,3,Joshua Harper,Matthew Allen,Business,Business Development Executive
academic_leave,28-05-2023,30-05-2023,first_half,full_day,3,Jim Johnson,Jonathan Dennis,Business,Business Development Executive
medical_leave,20-07-2024,25-07-2024,full_day,full_day,6,Linda Banks,Mary Rasmussen,Office Admin,Office Admin
medical_leave,21-10-2023,28-10-2023,second_half,full_day,8,Kyle Brown,Christopher Turner,Office Admin,Office Admin
marriage_leave,13-02-2025,21-02-2025,second_half,full_day,9,Anthony Harris,Jennifer Carter,HR,HR
academic_leave,26-04-2024,27-04-2024,second_half,first_half,2,Donald Walton,Mrs. Debra Huber,HR,Project coordinator
medical_leave,12-11-2023,17-11-2023,full_day,first_half,6,Miss Christine Arnold,Mrs. Erica Martin,HR,HR
academic_leave,07-06-2023,14-06-2023,full_day,first_half,8,Donna Hanson,Cheryl Hahn,Business,Business Development Executive
casual_leave,15-09-2024,24-09-2024,first_half,first_half,10,Juan Smith,Angela Gamble,Business,Business Development Executive
medical_leave,08-05-2024,10-05-2024,second_half,full_day,3,Susan Watts,Tina Collins,HR,Project coordinator
academic_leave,10-05-2024,10-05-2024,full_day,full_day,1,Julie Campbell,David Ford,Business,Business Development Executive
casual_leave,09-07-2024,18-07-2024,first_half,full_day,10,Briana Preston,Lisa Weaver,Technical,PHP
paternity_leave,16-11-2024,26-11-2024,first_half,first_half,11,Sarah Harris,Antonio Thompson,HR,HR
maternity_leave,15-01-2025,22-01-2025,first_half,full_day,8,Dustin Downs,Samantha Kim,Office Admin,Office Admin
casual_leave,28-04-2023,08-05-2023,second_half,first_half,11,Raymond Calderon,Terry Vasquez,Office Admin,Office Admin
marriage_leave,14-10-2024,21-10-2024,second_half,full_day,8,Patrick Silva,Christopher Brown,Business,Business Development Executive
medical_leave,02-12-2023,08-12-2023,full_day,first_half,7,Karen Larsen,Shannon James,Office Admin,Office Admin
casual_leave,22-09-2024,26-09-2024,second_half,first_half,5,Jill Fry,Kelsey Franklin,HR,Project coordinator
maternity_leave,20-04-2025,24-04-2025,full_day,first_half,5,Kelly Moore,Christina Mercer,Office Admin,Office Admin
maternity_leave,03-03-2025,05-03-2025,first_half,first_half,3,Julia Phelps,Kelly Parsons,Technical,iOS
academic_leave,28-05-2023,02-06-2023,second_half,full_day,6,Gregory Perez,Candace Webb,Technical,ReactJS
marriage_leave,02-10-2023,07-10-2023,second_half,first_half,6,Jenna Morgan,Tracy Wood,HR,HR
maternity_leave,26-08-2024,05-09-2024,second_half,first_half,11,Brittany Green,Natasha Smith,Business,Business Development Executive
academic_leave,22-09-2024,24-09-2024,second_half,first_half,3,Margaret Herrera,Michael Woods,Technical,ReactJS
academic_leave,16-02-2025,18-02-2025,first_half,first_half,3,Karen Stevens,Robert Harvey,Business,Business Development Executive
maternity_leave,19-09-2023,24-09-2023,full_day,full_day,6,Hunter Morrison,Scott Wells,Business,Business Development Executive
paternity_leave,19-06-2024,21-06-2024,first_half,first_half,3,Robert Dunlap,John Alexander,Office Admin,Office Admin
paternity_leave,04-08-2023,14-08-2023,first_half,full_day,11,Jeffrey Avila,Annette Oneill,Office Admin,Office Admin
medical_leave,01-12-2024,03-12-2024,first_half,first_half,3,Jessica Peterson,Lisa Schwartz,Technical,iOS
marriage_leave,11-12-2024,15-12-2024,second_half,first_half,5,Kathleen Hughes,Stephanie Wolfe,Technical,NodeJS
medical_leave,15-03-2024,22-03-2024,first_half,first_half,8,Tammy Holden,Kristin Turner,Technical,iOS
medical_leave,06-06-2023,11-06-2023,first_half,first_half,6,Leah Walton,Kimberly Harper,Business,Business Development Executive
marriage_leave,09-07-2024,15-07-2024,first_half,full_day,7,Christopher Wilson,Brad Williams,Technical,NodeJS
casual_leave,06-01-2025,15-01-2025,second_half,full_day,10,Karen Brown,Andrew Barber,Office Admin,Office Admin
medical_leave,04-12-2023,09-12-2023,full_day,full_day,6,Michael Jackson,Cheryl Ramirez,HR,HR
maternity_leave,30-09-2024,05-10-2024,full_day,first_half,6,Rebecca Cooper,David Ramos,Office Admin,Office Admin
